district_name,hood_name,population,sip_count,sip_per_capita
Osmangazi,Seç Mahallesi,525,0,0.0000
Osmangazi,Ovaakça Santral,3039,0,0.0000
Osmangazi,Küçükbalıklı Mahallesi,20641,0,0.0000
Nilüfer,30 Ağustos Zafer Mahallesi,15605,1,0.0001
Yıldırım,Akçağlayan Mahallesi,15912,1,0.0001
Osmangazi,Selamet Mahallesi,6484,1,0.0002
Yıldırım,Fidyekızık Mahallesi,5097,2,0.0004
Osmangazi,Gaziakdemir Mahallesi,2844,3,0.0011
Yıldırım,Sıracevizler Mahallesi,6500,12,0.0018
Yıldırım,Esenevler Mahallesi,17361,31,0.0018
Yıldırım,Yeşilyayla Mahallesi,6440,13,0.0020
Yıldırım,75. Yıl Mahallesi,10815,23,0.0021
Yıldırım,Güllük Mahallesi,9609,22,0.0023
Yıldırım,Ortabağlar Mahallesi,15172,37,0.0024
Yıldırım,Maltepe Mahellesi,6579,18,0.0027
Yıldırım,Erikli Mahallesi,11898,37,0.0031
Yıldırım,Zümrütevler Mahallesi,13043,41,0.0031
Osmangazi,Yenibağlar Mahallesi,17576,62,0.0035
Yıldırım,Bağlaraltı Mahallesi,18045,64,0.0035
Yıldırım,Eğitim Mahallesi,11176,39,0.0035
Yıldırım,Yediselviler Mahallesi,4278,16,0.0037
Osmangazi,Santral Garaj Mahallesi,794,3,0.0038
Osmangazi,Pınarbaşı Mahallesi,2123,8,0.0038
Yıldırım,Selçukbey Mahallesi,11185,43,0.0038
Yıldırım,Mehmet Akif Ersoy Mahallesi,6675,26,0.0039
Yıldırım,Değirmenlikızık Mahallesi,16721,65,0.0039
Yıldırım,Siteler Mahallesi,5025,20,0.0040
Yıldırım,Hocataşkın Mahallesi,1221,5,0.0041
Yıldırım,Piremir Mahallesi,12580,53,0.0042
Yıldırım,Musababa Mahallesi,3137,15,0.0048
Yıldırım,Mimar Sinan Mahallesi,11893,61,0.0051
Osmangazi,Emek Fatih Sultan Mehmet Mahallesi,24404,125,0.0051
Yıldırım,Ertuğrulgazi Mahallesi,9028,48,0.0053
Yıldırım,Teferrüç Mahallesi,5558,30,0.0054
Yıldırım,Baruthane Mahallesi,7916,47,0.0059
Osmangazi,İvazpaşa Mahallesi,2675,16,0.0060
Yıldırım,Karamazak Mahallesi,3768,23,0.0061
Yıldırım,Beyazıt Mahallesi,7164,45,0.0063
Yıldırım,Şükraniye Mahallesi,8559,56,0.0065
Osmangazi,Emek Zekai Gümüşdiş Mahallesi,9937,66,0.0066
Yıldırım,Emirsultan Mahallesi,5766,39,0.0068
Osmangazi,Demirkapı Mahallesi,1575,11,0.0070
Yıldırım,Davutkadı Mahallesi,6732,47,0.0070
Yıldırım,Yıldırım Mahallesi,6575,46,0.0070
Yıldırım,Davutdede Mahallesi,6470,46,0.0071
Osmangazi,Mollafenari Mahallesi,5766,41,0.0071
Yıldırım,Meydancık Mahallesi,2095,16,0.0076
